Number of reviews,Tripadvisor rating,Location rating,Cleanliness rating,Service rating,Value of money,Paid private parking nearby,Free high speed wifi,Fitness_center,Air conditioning,Minibar,Cable satellite TV,24-hour front desk,Non-smoking hotel,Express check-in / check-out,Baggage storage,Housekeeping,Safe,Family rooms,Count good words,Count bad words,Count total words,Great for walkers,Number of restaurants,Num of attractions
"5,903",4.0,90.82332,4.5,87.534886,4.4,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,11.0,1.0,10.0,100.0,325.0,45.0
"2,118",4.5,95.931234,4.8,96.30682,4.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,0.0,7.0,100.0,426.0,106.0
"2,420",4.5,92.2973,4.6,95.73696,4.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,8.0,0.0,8.0,100.0,152.0,41.0
"2,973",4.5,94.22141,4.7,93.2052,4.7,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,4.0,100.0,155.0,40.0
"1,254",4.5,93.452912,4.7,93.134326,4.7,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9.0,1.0,8.0,100.0,408.0,214.0
"1,893",4.0,94.36447199999999,4.7,87.716532,4.4,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,7.0,100.0,355.0,125.0
"3,489",4.5,97.08333,4.9,92.68101999999999,4.6,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,2.0,8.0,100.0,524.0,204.0
"9,044",4.5,96.27994,4.8,91.26639399999999,4.6,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0,7.0,100.0,501.0,224.0
"14,401",4.0,89.11952,4.5,87.52164,4.4,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,4.0,5.0,100.0,220.0,57.0
"1,485",4.5,90.08771999999999,4.5,91.382828,4.6,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,5.0,3.0,100.0,176.0,62.0
"2,307",4.5,88.47428000000002,4.4,90.04095,4.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,2.0,5.0,100.0,404.0,117.0
"4,169",4.5,92.215434,4.6,91.922226,4.6,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,12.0,100.0,377.0,100.0
"4,547",4.5,90.1304,4.5,96.7408,4.8,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,6.0,100.0,76.0,26.0
"1,218",4.0,91.88571,4.6,83.585654,4.2,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,0.0,8.0,100.0,508.0,139.0
863,4.0,91.026612,4.6,88.84461999999998,4.4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,100.0,411.0,71.0
288,4.5,98.148146,4.9,95.41667,4.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,8.0,0.0,8.0,100.0,393.0,97.0
"2,809",4.5,95.828648,4.8,91.925288,4.6,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,5.0,100.0,490.0,129.0
481,4.5,84.66666000000002,4.2,91.78081999999999,4.6,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,16.0,5.0,11.0,100.0,369.0,66.0
"6,955",4.5,95.6899,4.8,89.605446,4.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,7.0,100.0,492.0,150.0
479,4.0,91.478872,4.6,87.97202999999998,4.4,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,11.0,5.0,6.0,100.0,295.0,57.0
"5,525",4.5,94.469214,4.7,89.64546,4.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0,5.0,100.0,162.0,55.0
"1,457",4.0,96.71128,4.8,87.07753199999999,4.4,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,6.0,100.0,480.0,259.0
"5,347",4.5,95.804672,4.8,92.750512,4.6,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,20.0,0.0,20.0,100.0,159.0,46.0
"6,280",4.5,95.90608,4.8,92.975274,4.6,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,12.0,7.0,5.0,100.0,487.0,121.0
