Hotel name,Hotel url,Number of reviews,Tripadvisor rating,Rating regarding other hotels in the same city,Location rating,Cleanliness rating,Service rating,Value of money,Paid private parking nearby,Free high speed wifi,Fitness_center,Air conditioning,Minibar,Cable satellite TV,24-hour front desk,Non-smoking hotel,Express check-in / check-out,Baggage storage,Housekeeping,Safe,Family rooms,Count good words,Count bad words,Count total words,Great for walkers,Number of restaurants,Num of attractions
Motto by Hilton New York City Chelsea,https://www.tripadvisor.com/Hotel_Review-g60763-d23448880-Reviews-Motto_by_Hilton_New_York_City_Chelsea-New_York_City_New_York.html,508,5.0,4,97.94117999999999,4.9,96.09756000000002,4.8,1,1,1,0,0,1,0,1,1,0,1,0,0,9,0,9,100,329,97
Hard Rock Hotel New York,https://www.tripadvisor.com/Hotel_Review-g60763-d23627300-Reviews-Hard_Rock_Hotel_New_York-New_York_City_New_York.html,568,4.5,4,100,5.0,98,4.9,1,0,0,0,0,1,1,0,1,1,1,0,0,9,4,5,100,460,259
Margaritaville Resort Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d23462501-Reviews-Margaritaville_Resort_Times_Square-New_York_City_New_York.html,519,5.0,4,98.33332999999999,4.9,98.84057999999999,4.9,0,0,1,1,0,1,1,0,0,1,1,1,0,7,0,7,100,512,193
Hotel Riu Plaza Manhattan Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d23124360-Reviews-Hotel_Riu_Plaza_Manhattan_Times_Square-New_York_City_New_York.html,353,4.5,4,98.315792,4.9,97.54011200000001,4.9,0,0,1,0,0,1,1,0,0,0,1,1,1,4,0,4,100,464,254
Moxy NYC Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d12301470-Reviews-Moxy_NYC_Times_Square-New_York_City_New_York.html,"2,587",4.0,4,96.019068,4.8,91.885148,4.6,0,0,1,1,0,1,1,1,1,1,1,1,0,7,1,6,100,513,137
The Plaza New York - A Fairmont Managed Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d675616-Reviews-The_Plaza_New_York_A_Fairmont_Managed_Hotel-New_York_City_New_York.html,"3,538",4.5,4,97.47244800000001,4.9,92.61851999999999,4.6,0,0,1,1,1,1,1,1,0,1,1,1,1,3,0,3,100,224,96
Arlo Midtown,https://www.tripadvisor.com/Hotel_Review-g60763-d23036108-Reviews-Arlo_Midtown-New_York_City_New_York.html,665,4.5,4,93.93939,4.7,96.326532,4.8,1,1,1,1,0,0,1,1,1,0,0,1,1,16,2,14,100,311,99
Park Central Hotel New York,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York.html,"7,998",4.0,4,95.35798,4.8,84.10570999999999,4.2,0,0,1,1,0,0,1,1,0,1,1,1,0,6,1,5,100,389,110
Hotel Riu Plaza New York Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d8515751-Reviews-Hotel_Riu_Plaza_New_York_Times_Square-New_York_City_New_York.html,"5,539",4.5,4,97.629966,4.9,92.23993999999999,4.6,0,0,1,1,0,0,1,1,0,1,1,1,1,8,1,7,100,487,242
Pod 51 Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York.html,"5,903",4.0,4,90.82332,4.5,87.534886,4.4,1,1,0,1,0,0,1,1,0,1,1,1,0,11,1,10,100,325,45
